agente	logo	mostrar	Rating	Costo Envío	Media Días Total	Costo Envío EN	Media Días Total EN
Superbuy	https://play-lh.googleusercontent.com/w6hnKJbR0JHOloGbhPDrZixe9sGMkBmQVh5RcHYko2ahiHtMHaKV9zOmOCKsjbNZ1UI=s512-	TRUE	4,5	Caro	18 dias	Expensive	18 days
USFANS	https://s3-eu-west-1.amazonaws.com/tpd/logos/6825a376b16be873d3c23e82/0x0.png	TRUE	4,7	Medio	15 dias	Medium	15 days
CNFANS	https://s3-eu-west-1.amazonaws.com/tpd/logos/6417ff57d88ad4baa8407f63/0x0.png	FALSE	4,7	Caro	40 dias	Expensive	40 days
KAKOBUY	https://thumbs2.imgbox.com/39/de/3V1J2Q45_t.png	FALSE	4,7	Caro	33 dias	Expensive	33 days
Allchinabuy	https://img.utdstc.com/icon/5c7/09a/5c709aba14691b1dd35166ac2e8645d7f0c85d95a12d3f327842827ed51ff0ae:200	FALSE	4,7	Medio	20 dias	Medium	20 days
OOPBUY	https://play-lh.googleusercontent.com/Xd2k3p7CXVEDP3OsbQW986WN-Jo3LAGGeL7iJIBHdAkdRdisugQUISqfbWPp060vHjx1	TRUE	4,7	Medio	25 dias	Medium	25 days
ACBUY	https://thumbs2.imgbox.com/84/5c/dbO2FDTr_t.png	TRUE	4,7	Medio	20 dias	Medium	20 days
Mulebuy	https://images2.imgbox.com/11/66/GOLi5pbd_o.jpg	TRUE	4,7	Bajo	18 dias	Low	18 days
Joyagoo	https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/ee/a4/16/eea41644-dd37-7212-9eac-ce82b8512c5e/AppIcon-0-0-1x_U007emarketing-0-6-0-0-85-220.png/512x512bb.jpg	TRUE	4,7	Medio	18 dias	Medium	18 days
Hipobuy	https://play-lh.googleusercontent.com/wVlXLNuLd1NFyct0v9tLwimELSNB4arK5-ivLFrZM_R8sd9OWOtAGlQ-G2iMXB9HmknWwl_fVLfdhSBIEeA_Ng	FALSE	4,7	Medio	25 dias	Medium	25 days
Litbuy	https://litbuy.net/favicon.ico	TRUE	4,7	Medio	25 dias	Medium	25 days
CSSBUY	https://www.cssbuy.com/favicon.ico	FALSE	4,7	Barato	22 dias	Cheap	22 days
SUGARGOO	https://thumbs2.imgbox.com/a7/4f/LTbQVjnZ_t.jpg	FALSE	4,7	Muy Barato	22 dias	Very Cheap	22 days
