id	nombre	marca	Categoria	precio	ranking	activo	weidian_id	link weidian	foto portada	foto 1	foto 2	foto 3	foto 4	foto 5	foto6	descripcion	descripcion ingles
1	Nike Air Force 1 Low and High (XP Batch)	Nike	Zapatillas	22	8.4	SI	7270250390	https://weidian.com/item.html?itemID=7270250390	https://si.geilicdn.com/pcitem1888214674-51ae00000192d2d29da40a239646_3276_3276.jpg	https://si.geilicdn.com/pcitem1888214674-080800000191b8a9c59e0a207569_1080_1440.jpg	https://si.geilicdn.com/pcitem1888214674-05ee00000191b8a9d7420a2301b4_1080_1440.jpg	https://si.geilicdn.com/pcitem1888214674-059800000191b8a980a90a20e2c5_1080_1440.jpg	https://si.geilicdn.com/pcitem1888214674-093600000191b8c19fb20a239846_1080_1440.jpg	https://si.geilicdn.com/pcitem1888214674-0a3700000191b8c1a24f0a23038e_1080_1440.jpg	https://si.geilicdn.com/pcitem1888214674-0d3400000191b8c1a4510a2102c5_1080_1440.jpg	Las zapatillas Nike Air Force 1 Low and High (XP Batch) son un modelo icónico de la marca Nike, conocido por su diseño versátil y duradero. Fabricadas típicamente con materiales como cuero sintético y goma para mayor comodidad y resistencia. Son ideales para usos cotidianos, actividades deportivas como el baloncesto o el skateboarding, y como opción de moda urbana, ofreciendo comodidad durante todo el día. El lote XP Batch podría indicar una edición especial con detalles únicos.	The Nike Air Force 1 Low and High (XP Batch) sneakers are an iconic Nike model, known for their versatile and durable design. Typically made with materials like synthetic leather and rubber for comfort and durability, they're ideal for everyday wear, sports activities like basketball or skateboarding, and as a streetwear option, offering all-day comfort. The XP Batch designation may indicate a special edition with unique details.
2	Crocs (H12 Batch)	Crocs	Zapatillas	19	5.0	SI	7270318022	https://weidian.com/item.html?itemID=7270318022	https://si.geilicdn.com/pcitem1888214674-051000000191b394af8f0a20e273_1080_1080.jpg	https://si.geilicdn.com/pcitem1888214674-3adc00000191b38f918e0a21146b_1080_1080.jpg	https://si.geilicdn.com/pcitem1888214674-3c9800000191b39302740a20e35c_1080_1080.jpg	https://si.geilicdn.com/pcitem1888214674-389500000191b39317000a2304aa_1080_1080.jpg	https://si.geilicdn.com/pcitem1888214674-403100000191b39329a30a231316_1080_1080.jpg	https://si.geilicdn.com/pcitem1888214674-050000000191b393eb670a20e273_1074_1074.jpg	https://si.geilicdn.com/pcitem1888214674-619200000191b393ff430a2395d6_1074_1074.jpg	Las zapatillas Crocs (H12 Batch) son zapatillas cómodos y versátiles fabricados por la marca Crocs con material sintético resistente como EVA. Fabricadas típicamente con materiales como material Croslite ligero y resistente. Son ideales para uso diario, actividades al aire libre, playa o entornos húmedos, ofreciendo comodidad durante todo el día. El lote H12 es uno de los más populares por su consistencia y calidad.	Crocs (H12 Batch) shoes are comfortable and versatile footwear made by Crocs using durable synthetic materials like EVA. They are typically made with lightweight and durable materials such as Croslite™. Ideal for everyday wear, outdoor activities, the beach, or wet environments, they offer all-day comfort. The H12 Batch is one of the most popular due to its consistency and quality.
3	Air Jordan 4 (GX Batch)	Jordan	Zapatillas	53	9.4	SI	7269345837	https://weidian.com/item.html?itemID=7269345837	https://si.geilicdn.com/pcitem1888214674-2a5800000191ce2ce7ea0a23041a_3276_3276.jpg?w=600&h=600	https://si.geilicdn.com/pcitem1888214674-2c4e00000191ce2e56da0a23047e_684_684.jpg	https://si.geilicdn.com/pcitem1888214674-317600000191ce2ed6d40a2303ee_688_688.jpg	https://si.geilicdn.com/pcitem1888214674-710700000191ce2ef5af0a231316_686_686.jpg	https://si.geilicdn.com/pcitem1888214674-282d00000191ce2f0f450a230115_687_687.jpg	https://si.geilicdn.com/pcitem1888214674-323100000191ce3bc8ea0a207569_685_685.jpg	https://si.geilicdn.com/pcitem1888214674-30ac00000191ce3c6f250a239846_688_688.jpg	Las zapatillas Air Jordan 4 (GX Batch) son un modelo icónico de la marca Nike, diseñado originalmente para baloncesto pero ideales para uso diario y urbano. Fabricadas típicamente con materiales como cuero genuino, malla transpirable y suela de caucho resistente. Son ideales para uso diario y urbano, ofreciendo comodidad durante todo el día. El lote GX ofrece una excelente relación calidad-precio con acabados de alta gama.	The Air Jordan 4 (GX Batch) sneakers are an iconic Nike model, originally designed for basketball but ideal for everyday wear and urban environments. Typically made with materials like genuine leather, breathable mesh, and a durable rubber outsole, they offer all-day comfort. The GX Batch provides excellent value with high-end finishes.
4	Asics Gel-NYC (PK Batch)	Asics	Zapatillas	42	7.4	SI	7270167536	https://weidian.com/item.html?itemID=7270167536	https://si.geilicdn.com/pcitem1888214674-31ff00000191b8294fad0a2304aa_1442_1920.jpg?w=600&h=600	https://si.geilicdn.com/pcitem1888214674-119f00000192239494ec0a20e2c5_3276_3276.jpg	https://si.geilicdn.com/pcitem1888214674-017c00000191aed6b4f80a210349_1080_1080.jpg	https://si.geilicdn.com/pcitem1888214674-03ff00000191aed6ccd70a2315ef_1080_1080.jpg	https://si.geilicdn.com/pcitem1888214674-786400000191aed6e1b40a230115_1080_1080.jpg	https://si.geilicdn.com/pcitem1888214674-001e00000191aed6f77c0a2303ee_1080_1080.jpg	https://si.geilicdn.com/pcitem1888214674-3b5a00000191aed70f780a21146b_1080_1080.jpg	Las zapatillas Asics Gel-NYC (PK Batch) son un calzado deportivo de la marca Asics, diseñado para running y uso urbano. Fabricadas típicamente con materiales como malla sintética transpirable y suela de goma resistente, con tecnología Gel para amortiguación. Son ideales para actividades diarias, entrenamiento o caminatas largas, ofreciendo comodidad durante todo el día. El lote PK es reconocido por su alta calidad en materiales y acabados fieles al modelo original.	The Asics Gel-NYC (PK Batch) sneakers are athletic shoes from Asics, designed for running and urban use. Typically made with materials such as breathable synthetic mesh and a durable rubber outsole, they feature Gel technology for cushioning. They are ideal for daily activities, training, or long walks, offering all-day comfort. The PK Batch is known for its high-quality materials and finishes that remain true to the original model.
5	Air Jordan 4 (More Colorways) (GX Batch)	Jordan	Zapatillas	53	8.4	SI	7283412516	https://weidian.com/item.html?itemID=7283412516	https://si.geilicdn.com/pcitem1888214674-5fbc000001924d2f4c5b0a8134f0_3276_3276.jpg?w=600&h=600	https://si.geilicdn.com/pcitem1888214674-010a000001924d2fbae10a239646_678_678.jpg	https://si.geilicdn.com/pcitem1888214674-6906000001924d2fcf710a2102c5_673_673.jpg	https://si.geilicdn.com/pcitem1888214674-1f05000001924d30255b0a2304aa_672_672.jpg	https://si.geilicdn.com/pcitem1888214674-63a1000001924d3039150a23111a_678_678.jpg	https://si.geilicdn.com/pcitem1888214674-63f6000001924d3078660a23047e_676_676.jpg	https://si.geilicdn.com/pcitem1888214674-6926000001924d308a300a2102c5_673_673.jpg	Las zapatillas Air Jordan 4 (More Colorways) (GX Batch) son un modelo icónico de la marca Nike, diseñado originalmente para baloncesto pero ideales para uso diario y urbano. Fabricadas típicamente con materiales como cuero genuino, malla transpirable y suela de caucho resistente. Son ideales para uso diario y urbano, ofreciendo comodidad durante todo el día. El lote GX ofrece una excelente relación calidad-precio con acabados de alta gama. Disponibles en múltiples combinaciones de colores para adaptarse a diferentes estilos.	The Air Jordan 4 (More Colorways) (GX Batch) sneakers are an iconic Nike model, originally designed for basketball but ideal for everyday wear and urban style. Typically made with materials like genuine leather, breathable mesh, and a durable rubber outsole, they're perfect for everyday wear and offer all-day comfort. The GX Batch offers excellent value with high-end finishes. Available in multiple colorways to suit different styles.
6	Air Jordan 1 x Travis Scott Low and High (LJR Batch)	Travis scott	Zapatillas	53	8.4	SI	7269347835	https://weidian.com/item.html?itemID=7269347835	https://si.geilicdn.com/pcitem1888214674-014400000191b3fe30f30a20e2c5_3276_3276.jpg?w=600&h=600	https://si.geilicdn.com/pcitem1888214674-67ed000001924d4a950a0a23037f_663_663.jpg	https://si.geilicdn.com/pcitem1888214674-079a00000191b401e7a00a2102c5_640_640.jpg	https://si.geilicdn.com/pcitem1888214674-015100000191b4053a280a22d172_640_639.jpg	https://si.geilicdn.com/pcitem1888214674-034500000191b404c9ee0a23111a_640_640.jpg	https://si.geilicdn.com/pcitem1888214674-3de600000192852a58540a20e2c5_514_517.jpg	https://si.geilicdn.com/pcitem1888214674-076500000191b405b8ef0a210256_640_640.jpg	Las zapatillas Air Jordan 1 x Travis Scott Low and High (LJR Batch) son un modelo icónico de la marca Nike, diseñado originalmente para baloncesto pero ampliamente usado en moda urbana. Fabricadas típicamente con materiales como cuero sintético, malla transpirable y suela de goma para mayor durabilidad y comodidad. Son ideales para actividades deportivas o looks casuales diarios, ofreciendo comodidad durante todo el día. El lote LJR es conocido por su precisión en los detalles y materiales premium.	The Air Jordan 1 x Travis Scott Low and High (LJR Batch) sneakers are an iconic Nike model, originally designed for basketball but widely used in streetwear. Typically made with materials like synthetic leather, breathable mesh, and a rubber outsole for durability and comfort, they're ideal for athletic activities or everyday casual looks, offering all-day comfort. The LJR Batch is known for its meticulous attention to detail and premium materials.
7	Air Jordan 1 Low (LJR Batch)	Jordan	Zapatillas	39	6.4	SI	7269347833	https://weidian.com/item.html?itemID=7269347833	https://si.geilicdn.com/pcitem1888214674-6f7e00000191bcd716e70a23047e_3276_3276.jpg?w=600&h=600	https://si.geilicdn.com/pcitem1888214674-78a300000191bce8914c0a23037f_640_635.jpg	https://si.geilicdn.com/pcitem1888214674-70e2000001920f2cc57d0a22d172_640_635.jpg	https://si.geilicdn.com/pcitem1888214674-77aa00000191bce9f8000a81347d_640_635.jpg	https://si.geilicdn.com/pcitem1888214674-325100000191bcea45e90a21146b_640_640.jpg	https://si.geilicdn.com/pcitem1888214674-744e00000191bceb03110a239846_640_635.jpg	https://si.geilicdn.com/pcitem1888214674-78a700000191bceb650a0a210256_640_637.jpg	Las zapatillas Air Jordan 1 Low (LJR Batch) son un modelo icónico de la marca Nike, diseñado originalmente para baloncesto pero ampliamente usado en moda urbana. Fabricadas típicamente con materiales como cuero sintético, malla transpirable y suela de goma para mayor durabilidad y comodidad. Son ideales para actividades deportivas o looks casuales diarios, ofreciendo comodidad durante todo el día. El lote LJR es conocido por su precisión en los detalles y materiales premium.	The Air Jordan 1 Low (LJR Batch) sneakers are an iconic Nike model, originally designed for basketball but widely used in streetwear. Typically made with materials like synthetic leather, breathable mesh, and a rubber outsole for durability and comfort, they're ideal for athletic activities or everyday casual looks, offering all-day comfort. The LJR Batch is known for its meticulous attention to detail and premium materials.
8	Adidas Yeezy 350 V2 (LW Batch)	Adidas	Zapatillas	48	9.4	SI	7269345839	https://weidian.com/item.html?itemID=7269345839	https://si.geilicdn.com/pcitem1888214674-294c00000191e15d28310a23038e_3276_3276.jpg?w=600&h=600	https://si.geilicdn.com/pcitem1888214674-408800000191e148e11a0a239646_684_684.jpg	https://si.geilicdn.com/pcitem1888214674-08c700000191e149452f0a2395d6_685_685.jpg	https://si.geilicdn.com/pcitem1888214674-65df00000191e149bb490a231316_686_686.jpg	https://si.geilicdn.com/pcitem1888214674-289500000191e14a2a410a210349_682_682.jpg	https://si.geilicdn.com/pcitem1888214674-1f5700000191e14afc4a0a20e672_686_686.jpg	https://si.geilicdn.com/pcitem1888214674-26f200000191e14b3f7f0a23038e_684_684.jpg	Las zapatillas Adidas Yeezy 350 V2 (LW Batch) son zapatillas deportivas de alta gama, diseñadas por la marca Adidas en colaboración con Kanye West. Fabricadas típicamente con materiales como material primeknit elástico y transpirable, junto con una suela de goma resistente para mayor tracción y comodidad. Son ideales para uso diario casual o actividades urbanas, ofreciendo comodidad durante todo el día. El lote LW ofrece materiales premium y acabados cuidados.	The Adidas Yeezy 350 V2 (LW Batch) sneakers are high-end athletic shoes designed by Adidas in collaboration with Kanye West. They are typically made with materials such as stretchy and breathable Primeknit, along with a durable rubber outsole for enhanced traction and comfort. They are ideal for everyday casual wear or urban activities, offering all-day comfort. The LW Batch features premium materials and meticulous craftsmanship.
9	Air Jordan 1 Low (More Colorways) (LJR Batch)	Jordan	Zapatillas	39	7.4	SI	7282485729	https://weidian.com/item.html?itemID=7282485729	https://si.geilicdn.com/pcitem1888214674-7922000001924de3f8110a210256_3276_3276.jpg?w=600&h=600	https://si.geilicdn.com/pcitem1888214674-74dc000001924de585b40a239846_672_672.jpg	https://si.geilicdn.com/pcitem1888214674-6e35000001924de59b980a230115_676_676.jpg	https://si.geilicdn.com/pcitem1888214674-6e9a000001924dea72b50a230115_667_667.jpg	https://si.geilicdn.com/pcitem1888214674-7b56000001924dea9b2a0a2303ee_677_677.jpg	https://si.geilicdn.com/pcitem1888214674-79dc000001924deac5190a207569_672_672.jpg	https://si.geilicdn.com/pcitem1888214674-6fea000001924deadced0a20e672_675_675.jpg	Las zapatillas Air Jordan 1 Low (More Colorways) (LJR Batch) son un modelo icónico de la marca Nike, diseñado originalmente para baloncesto pero ampliamente usado en moda urbana. Fabricadas típicamente con materiales como cuero sintético, malla transpirable y suela de goma para mayor durabilidad y comodidad. Son ideales para actividades deportivas o looks casuales diarios, ofreciendo comodidad durante todo el día. El lote LJR es conocido por su precisión en los detalles y materiales premium. Disponibles en múltiples combinaciones de colores para adaptarse a diferentes estilos.	The Air Jordan 1 Low (More Colorways) (LJR Batch) is an iconic Nike model, originally designed for basketball but widely used in streetwear. Typically made with materials like synthetic leather, breathable mesh, and a rubber outsole for durability and comfort, they're ideal for athletic activities or everyday casual looks, offering all-day comfort. The LJR Batch is known for its meticulous attention to detail and premium materials. Available in multiple colorways to suit different styles.
10	Adidas Yeezy Boost 700 (OG Batch)	Adidas	Zapatillas	53	8.4	SI	7270224558	https://weidian.com/item.html?itemID=7270224558	https://si.geilicdn.com/pcitem1888214674-38c200000191dd5adf930a81347d_3276_3276.jpg?w=600&h=600	https://si.geilicdn.com/pcitem1888214674-715400000191dd5f28d00a2304aa_683_683.jpg	https://si.geilicdn.com/pcitem1888214674-387b00000191dd5fe7160a23038e_682_682.jpg	https://si.geilicdn.com/pcitem1888214674-394100000191dd5ffac70a20e284_680_680.jpg	https://si.geilicdn.com/pcitem1888214674-37fe00000191dd60218c0a2303ee_682_682.jpg	https://si.geilicdn.com/pcitem1888214674-38f500000191dd604bdf0a23037f_681_681.jpg	https://si.geilicdn.com/pcitem1888214674-233700000191dd60772e0a811411_688_688.jpg	Las zapatillas Adidas Yeezy Boost 700 (OG Batch) son un producto de la marca Adidas. Adidas es una marca alemana líder en calzado y ropa deportiva. Fabricadas con materiales como cuero, materiales sintéticos y suela de goma para mayor comodidad y durabilidad. El lote OG destaca por su fidelidad al diseño original y materiales de primera calidad.	The Adidas Yeezy Boost 700 (OG Batch) sneakers are a product of the Adidas brand. Adidas is a leading German brand of footwear and sportswear. Made with materials such as leather, synthetic materials, and a rubber sole for comfort and durability, the OG Batch stands out for its faithfulness to the original design and premium materials.
